The armour of Achilles (high quality), featured on Artstation.
The sword of truth (high quality), featured on Artstation.
The sword of truth, concept art featured on Artstation.
The sword of truth, rendered in unreal engine. 
The amulet of rage (high quality), featured on Artstation.
The book of Necromancy (high quality), featured on Artstation.
Potion of healing (high quality), featured on Artstation.
Potion of mana  (high quality), featured on Artstation.
The rod of flaming death  (high quality), featured on Artstation.
Pendant of Slaanesh  (high quality), featured on Artstation.
The terrifying tragic mask  (high quality), featured on Artstation.
Shard of the heartstone  (high quality), featured on Artstation.
Obsidian sword  (high quality), featured on Artstation.
The slayer's crown  (high quality), featured on Artstation.
The sword of destiny  (high quality), featured on Artstation.
The enchanted sword  (high quality), featured on Artstation.
The chalice of dark rain  (high quality), featured on Artstation.
Ruby ring of ruin  (high quality), featured on Artstation.
The jagged dagger of hope (high quality), featured on Artstation.
The enchanted shield (high quality), featured on Artstation.
The amulet of protection (high quality), featured on Artstation.
The divine robe (high quality), featured on Artstation.
The armour of meteroic iron (high quality), featured on Artstation.
